concurrency,pool,throughput
361,3,112866
391,3,112764
421,3,114784
451,3,112841
481,3,112485
511,3,114390
541,3,113791
571,3,114337
601,3,113045
631,3,113636
661,3,113739
691,3,112739
721,3,113869
751,3,111781
781,3,112359
811,3,111731
841,3,112460
871,3,114025
901,3,114025
931,3,111706
961,3,110595
991,3,112334
1021,3,111333
1051,3,112892
1081,3,112663
1111,3,111781
1141,3,113713
1171,3,113843
1201,3,112132
1231,3,112157
1261,3,111234
1291,3,112107
1321,3,114442
1351,3,113378
1381,3,111681
1411,3,113455
1441,3,114259
1471,3,112410
1501,3,112460
1531,3,113507
1561,3,112258
1591,3,113817
1621,3,113301
1651,3,114025
1681,3,111681
1711,3,111681
1741,3,112841
1771,3,112283
1801,3,111037
1831,3,112485
1861,3,112032
1891,3,114678
1921,3,113275
1951,3,111906
1981,3,111681
2011,3,111358
2041,3,111681
2071,3,112410
2101,3,112032
2131,3,112739
2161,3,112132
2191,3,112309
2221,3,112561
2251,3,114705
2281,3,113688
2311,3,111856
2341,3,112587
2371,3,113533
2401,3,112107
2431,3,113610
2461,3,110913
2491,3,111906
2521,3,110913
2551,3,110302
2581,3,111881
2611,3,112815
2641,3,111656
2671,3,111756
2701,3,113533
2731,3,112309
2761,3,111982
2791,3,111781
2821,3,112082
2851,3,112485
2881,3,112460
2911,3,112561
2941,3,112815
2971,3,110643
3001,3,111557
3031,3,111706
3061,3,112815
3091,3,112233
3121,3,112208
3151,3,111037
3181,3,111358
3211,3,111408
3241,3,112157
3271,3,113973
3301,3,113817
3331,3,112714
3361,3,111831
3391,3,110815
3421,3,114573
3451,3,113791
3481,3,114155
3511,3,111358
3541,3,110889
3571,3,114364
3601,3,111731
3631,3,114547
3661,3,112485
3691,3,112561
3721,3,113122
3751,3,111806
3781,3,112739
3811,3,113404
3841,3,112739
3871,3,113327
3901,3,112233
3931,3,113352
3961,3,110889
3991,3,111358
4021,3,113147
4051,3,111706
4081,3,111881
4111,3,112410
4141,3,113713
4171,3,112435
4201,3,114129
4231,3,112561
4261,3,112968
4291,3,111582
4321,3,110987
4351,3,112739
4381,3,112057
4411,3,112688
4441,3,114051
4471,3,110815
4501,3,111234
4531,3,110963
4561,3,113096
4591,3,111358
4621,3,113869
4651,3,111061
4681,3,111185
4711,3,112309
4741,3,112309
4771,3,112739
4801,3,111931
4831,3,111856
4861,3,113558
4891,3,111308
4921,3,112032
4951,3,112007
4981,3,113045
5011,3,113765
5041,3,112968
5071,3,110035
5101,3,112183
5131,3,112132
5161,3,110791
5191,3,112917
5221,3,113533
5251,3,110619
5281,3,113352
5311,3,111457
5341,3,113173
5371,3,113404
5401,3,111061
5431,3,111906
5461,3,111284
5491,3,111906
5521,3,111781
5551,3,112460
5581,3,111284
5611,3,111308
5641,3,111012
5671,3,112132
5701,3,112536
5731,3,112032
5761,3,111731
5791,3,111333
5821,3,110840
5851,3,112790
5881,3,110717
5911,3,110840
5941,3,111259
5971,3,111906
6001,3,111881
6031,3,113096
6061,3,112866
6091,3,111957
6121,3,111284
6151,3,111383
6181,3,111731
6211,3,112764
6241,3,110815
6271,3,111135
6301,3,111806
6331,3,111632
6361,3,111607
6391,3,113739
6421,3,112764
6451,3,112536
6481,3,112334
6511,3,113122
6541,3,113869
6571,3,110472
6601,3,112815
6631,3,111582
6661,3,111806
6691,3,110741
6721,3,110253
6751,3,111358
6781,3,113817
6811,3,112663
6841,3,113455
6871,3,111982
6901,3,111656
6931,3,109601
6961,3,111532
6991,3,113481
7021,3,111532
7051,3,111831
7081,3,112032
7111,3,111982
7141,3,109890
7171,3,109529
7201,3,110277
7231,3,111086
7261,3,111656
7291,3,112082
7321,3,112057
7351,3,112208
7381,3,111160
7411,3,112815
7441,3,112132
7471,3,112157
7501,3,112612
7531,3,110889
7561,3,113250
7591,3,112334
7621,3,111806
7651,3,114025
7681,3,112208
7711,3,112663
7741,3,113122
7771,3,113662
7801,3,111681
7831,3,112309
7861,3,112384
7891,3,112007
7921,3,112917
7951,3,111582
7981,3,110692
8011,3,110938
8041,3,111632
8071,3,110570
8101,3,112511
8131,3,111607
8161,3,112688
8191,3,111408
8221,3,110253
8251,3,111557
8281,3,112511
8311,3,110350
8341,3,112233
8371,3,110204
8401,3,111061
8431,3,111607
8461,3,111781
8491,3,113096
8521,3,111284
8551,3,112283
8581,3,110424
8611,3,112410
8641,3,112943
8671,3,113739
8701,3,113533
8731,3,111706
8761,3,112511
8791,3,110399
8821,3,112917
8851,3,111507
8881,3,112536
8911,3,111806
8941,3,110302
8971,3,110840
9001,3,110643
9031,3,112283
9061,3,111333
9091,3,113147
