concurrency,pool,throughput
4501,5,1326259
4531,5,1412429
4561,5,1066098
4591,5,1377410
4621,5,1428571
4651,5,1381215
4681,5,1388888
4711,5,1282051
4741,5,1377410
4771,5,1377410
4801,5,1388888
4831,5,1340482
4861,5,1305483
4891,5,1347708
4921,5,1377410
4951,5,1351351
4981,5,1428571
5011,5,1381215
5041,5,1381215
5071,5,1347708
5101,5,1385041
5131,5,1400560
5161,5,1355013
5191,5,1457725
5221,5,1336898
5251,5,1259445
5281,5,1366120
5311,5,1369863
5341,5,1497005
5371,5,1381215
5401,5,1396648
5431,5,1351351
5461,5,1381215
5491,5,1381215
5521,5,1412429
5551,5,1392757
5581,5,1231527
5611,5,1392757
5641,5,1400560
5671,5,1400560
5701,5,1392757
5731,5,1392757
5761,5,1347708
5791,5,1366120
5821,5,1355013
5851,5,1377410
5881,5,1408450
5911,5,1291989
5941,5,1319261
5971,5,1369863
6001,5,1506024
6031,5,1392757
6061,5,1408450
6091,5,1373626
6121,5,1412429
6151,5,1428571
6181,5,1373626
6211,5,1381215
6241,5,784929
6271,5,1366120
6301,5,1326259
6331,5,1436781
6361,5,1400560
6391,5,1400560
6421,5,1336898
6451,5,1440922
6481,5,1424501
6511,5,1355013
6541,5,1396648
6571,5,1381215
6601,5,1193317
6631,5,1385041
6661,5,1400560
6691,5,1445086
6721,5,1400560
6751,5,1483679
6781,5,1392757
6811,5,1466275
6841,5,1408450
6871,5,1424501
6901,5,1369863
6931,5,1002004
6961,5,1355013
6991,5,1400560
7021,5,1440922
7051,5,1351351
7081,5,1412429
7111,5,1388888
7141,5,1404494
7171,5,1392757
7201,5,1436781
7231,5,1436781
7261,5,1377410
7291,5,1385041
7321,5,1445086
7351,5,1396648
7381,5,1392757
7411,5,1457725
7441,5,1457725
7471,5,1355013
7501,5,1412429
7531,5,1369863
7561,5,1416430
7591,5,1305483
7621,5,1182033
7651,5,1369863
7681,5,1377410
7711,5,1388888
7741,5,1381215
7771,5,1436781
7801,5,1362397
7831,5,1351351
7861,5,1373626
7891,5,1358695
7921,5,1358695
7951,5,1381215
7981,5,1396648
8011,5,1347708
8041,5,1347708
8071,5,1312335
8101,5,1315789
8131,5,1315789
8161,5,1319261
8191,5,1373626
8221,5,1347708
8251,5,1400560
8281,5,1228501
8311,5,1256281
8341,5,1373626
8371,5,1308900
8401,5,1373626
8431,5,1366120
8461,5,1388888
8491,5,1347708
8521,5,1392757
8551,5,1308900
8581,5,1377410
8611,5,1366120
8641,5,1052631
8671,5,1388888
8701,5,1362397
8731,5,1344086
8761,5,1282051
8791,5,1322751
8821,5,1326259
8851,5,1388888
8881,5,1385041
8911,5,1377410
8941,5,1340482
8971,5,1250000
9001,5,1333333
9031,5,1408450
9061,5,1366120
9091,5,1369863
9121,5,1329787
9151,5,1396648
9181,5,1326259
9211,5,1358695
9241,5,1344086
9271,5,1340482
9301,5,1355013
9331,5,1043841
9361,5,1326259
9391,5,1347708
9421,5,1315789
9451,5,1333333
9481,5,1243781
9511,5,1340482
9541,5,1312335
9571,5,1340482
9601,5,1305483
9631,5,1347708
9661,5,1344086
9691,5,1253132
9721,5,1291989
9751,5,1366120
9781,5,1385041
9811,5,1322751
9841,5,1369863
9871,5,1305483
9901,5,1358695
9931,5,1308900
9961,5,1288659
9991,5,1333333
10021,5,1288659
10051,5,1282051
10081,5,1315789
10111,5,1308900
10141,5,1285347
10171,5,1298701
10201,5,1308900
10231,5,1312335
10261,5,1333333
10291,5,1298701
10321,5,1305483
10351,5,1141552
10381,5,1234567
10411,5,1319261
10441,5,1285347
10471,5,1305483
10501,5,1333333
10531,5,1333333
10561,5,1305483
10591,5,1285347
10621,5,1326259
10651,5,1237623
10681,5,1262626
10711,5,1329787
10741,5,1272264
10771,5,1366120
10801,5,1256281
10831,5,1344086
10861,5,1265822
10891,5,1312335
10921,5,1329787
10951,5,1336898
10981,5,1326259
11011,5,1312335
11041,5,1162790
11071,5,1295336
11101,5,1308900
11131,5,1298701
11161,5,1340482
11191,5,1298701
11221,5,1256281
11251,5,1312335
11281,5,1344086
11311,5,1253132
11341,5,1262626
11371,5,1326259
11401,5,1298701
11431,5,1315789
11461,5,1285347
11491,5,1256281
11521,5,1243781
11551,5,1312335
11581,5,1269035
11611,5,1308900
11641,5,1291989
11671,5,1243781
11701,5,1246882
11731,5,1305483
11761,5,1216545
11791,5,1326259
11821,5,1305483
11851,5,1288659
11881,5,1319261
11911,5,1295336
11941,5,1243781
11971,5,1275510
12001,5,1262626
12031,5,1243781
12061,5,1256281
12091,5,1213592
12121,5,1282051
12151,5,1262626
12181,5,1272264
12211,5,1278772
12241,5,1250000
12271,5,1295336
12301,5,1315789
12331,5,1312335
12361,5,1282051
12391,5,1302083
12421,5,1098901
12451,5,1285347
12481,5,1278772
12511,5,1282051
12541,5,1275510
12571,5,1278772
12601,5,1259445
12631,5,1275510
12661,5,1285347
12691,5,1243781
12721,5,1256281
12751,5,1265822
12781,5,1002004
12811,5,1253132
12841,5,1240694
12871,5,1288659
12901,5,1250000
12931,5,1219512
12961,5,1285347
12991,5,1256281
13021,5,1240694
13051,5,1207729
13081,5,1225490
13111,5,1182033
13141,5,1259445
13171,5,1265822
13201,5,1234567
13231,5,1259445
13261,5,1237623
13291,5,1228501
13321,5,1285347
13351,5,1222493
13381,5,1222493
13411,5,1259445
13441,5,1237623
13471,5,1024590
13501,5,1288659
13531,5,1231527
13561,5,1259445
13591,5,1272264
13621,5,1225490
13651,5,1243781
13681,5,1222493
13711,5,1225490
13741,5,1253132
13771,5,1246882
13801,5,961538
13831,5,1237623
13861,5,1222493
13891,5,1262626
13921,5,1204819
13951,5,1222493
13981,5,1228501
14011,5,1278772
14041,5,1275510
14071,5,1250000
14101,5,1291989
14131,5,1207729
14161,5,1216545
14191,5,1225490
14221,5,1237623
14251,5,1196172
14281,5,1250000
14311,5,1207729
14341,5,1231527
14371,5,1237623
14401,5,1225490
14431,5,1201923
14461,5,1298701
14491,5,1225490
14521,5,1243781
14551,5,1193317
14581,5,1190476
14611,5,1016260
14641,5,1225490
14671,5,1231527
14701,5,1225490
14731,5,1234567
14761,5,1222493
14791,5,1193317
14821,5,1231527
